,default,beego,echo,echo-slim,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,gin
0 ms,163187.46,146344.86,162269.33,165361.25,249114.63,214625.61,228362.08,229937.39,165733.62,250499.35,172234.71
10 ms,166647.47,154279.57,161418.80,159318.50,230750.67,208399.40,205089.75,211208.69,162193.51,230758.86,160766.73
100 ms,47901.50,48156.84,47709.80,47542.69,48985.38,49006.32,48890.70,48777.89,47732.00,47020.65,47931.69
500 ms,9786.96,9784.75,9785.16,9796.45,9785.72,9788.09,9795.46,9784.79,9797.16,9750.01,9788.85
