,default,beego,echo,echo-slim,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,gin
100,1335.62,1343.29,1343.90,1336.03,1387.56,1350.85,1362.20,1355.33,1351.77,1394.84,1350.49
1000,1366.04,1320.91,1379.16,1346.78,1351.80,1356.19,1338.54,1365.55,1361.08,1370.42,1303.69
5000,1327.42,1325.59,1311.54,1320.83,1327.21,1323.55,1309.17,1325.37,1270.08,1252.72,1327.73
