,default,beego,echo,echo-slim,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,gin
0 ms,226237.92,208047.29,226604.68,220383.00,902506.98,859127.21,888490.25,870384.20,219907.28,1460372.12,226810.84
10 ms,214471.19,201308.40,218214.85,213068.40,441992.59,430840.03,441538.88,439585.35,219240.76,460640.74,222040.79
100 ms,48430.67,47918.76,47619.08,48453.45,47887.24,47771.74,47781.36,47766.87,47935.85,47844.11,47685.08
500 ms,9785.62,9784.48,9786.29,9796.75,7961.39,7961.78,7966.09,7963.25,9784.46,7960.06,9787.83
