,default,beego,echo,echo-slim,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,gin
100,3100.91,3097.80,3103.01,3095.68,3098.43,3097.52,3098.24,3103.78,3097.78,3105.08,3097.09
1000,31378.59,31910.10,31596.51,31820.23,32050.94,32068.73,32066.21,32070.34,31489.17,29343.64,31794.37
5000,145628.40,148815.22,141371.60,137432.46,157108.92,157590.70,158262.14,157375.50,141097.72,137293.03,139999.44
