,default,beego,echo,echo-slim,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,gin
0 ms,116,123,126,125,56,64,57,84,102,8 8 7 8 8 8 8 3 8 8 8 8 8,121
10 ms,126,151,117,120,57,88,59,68,105,8 8 8 8 8 8 3 8 8 8 8 8 8,91
100 ms,138,121,146,145,56,65,58,64,75,7 8 8 8 8 8 3 8 8 8 7 8 8,112
500 ms,127,143,128,91,56,60,57,59,112,8 8 8 7 8 8 3 8 7 8 8 8 8,95
