,default,beego,echo,echo-slim,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,gin
100,3104.31,3104.40,3102.47,3096.19,3114.92,3115.83,3115.76,3116.52,3098.44,3116.70,3106.14
1000,32000.57,32072.25,31954.01,32064.32,32334.34,32173.89,32327.95,32265.01,32115.53,31987.36,32071.11
5000,153800.64,153962.17,154774.45,155118.26,159362.04,159348.99,159267.81,159222.60,156162.16,159346.91,154454.41
