,default,beego,echo,echo-slim,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,gin
0 ms,29.39,33.34,29.48,29.03,16.95,20.18,18.73,18.49,28.99,18.69,27.60
10 ms,29.51,32.91,31.15,31.55,20.59,23.03,23.32,23.21,31.03,20.64,30.70
100 ms,103.33,102.92,103.64,104.09,101.13,101.12,101.28,101.20,103.76,105.38,103.33
500 ms,503.19,502.84,503.25,502.80,501.94,502.28,501.56,501.56,502.84,505.43,502.84
