,default,beego,echo,echo-slim,fasthttp,fasthttp-routing,fasthttp/router,fasthttprouter,fastrouter,fiber,gin
100,30.88,30.91,30.87,30.94,30.89,30.90,30.88,30.84,30.90,30.87,30.91
1000,31.59,31.10,31.39,31.17,30.88,30.84,30.88,30.86,31.48,33.86,31.19
5000,34.19,33.19,35.13,36.37,31.35,31.31,31.26,31.36,35.19,36.14,35.47
